Vehicle Make,Type1,Type2,Type1_val,Type2_val
BMW,3.0,18.0,530E,X5
CHEVROLET,1124.0,0.0,VOLT,
FORD,27.0,4444.0,C-MAX,FUSION
PORSCHE,3.0,0.0,CAYENNE,
TOYOTA,163.0,2985.0,PRIUS PLUG-IN,PRIUS PRIME
