GEOID,rental_ptg
36005000200,0.32284597984783053
36005000400,0.3286309714652132
36005001600,0.7935147849462365
36005001901,1.0
36005001902,0.8512931034482759
36005002001,1.0
36005002002,0.6120051085568327
36005002300,1.0
36005002500,0.9390535812925797
36005002701,0.9891859417242416
36005002702,0.9758874748827864
36005002800,0.9102392344497607
36005003100,0.8655724892536147
36005003300,0.8691588785046729
36005003500,0.9512321660181582
36005003700,1.0
36005003800,0.5808695652173913
36005003900,0.9511715549729641
36005004001,0.4691270404542229
36005004100,0.8431039802530084
36005004200,0.8916473034120093
36005004300,0.7752218800941858
36005004400,0.9419895762519828
36005004600,0.8611949305974653
36005004800,0.9093532099062275
36005005001,0.9227836034318398
36005005002,0.955566486309231
36005005100,0.9696312364425163
36005005200,0.8575867426204039
36005005300,1.0
36005005400,0.8654621996141028
36005005600,0.8199913457377759
36005005902,0.7140912185159973
36005006000,0.7393986121819583
36005006100,0.6027928626842514
36005006200,0.9756882949605539
36005006301,0.7300087489063867
36005006400,0.7389839294971488
36005006500,0.9014722536806342
36005006700,0.9844786015672091
36005006800,0.8106698756518251
36005006900,0.9206644708577975
36005007000,0.6541809548931681
36005007100,0.6084822993340343
36005007200,0.6184745487071068
36005007300,0.9460220605491668
36005007400,0.6105889724310777
36005007500,0.7990336705420504
36005007600,0.7522299306243806
36005007700,0.8248210023866348
36005007800,0.6644078735075831
36005007900,1.0
36005008300,0.8109328764989877
36005008400,0.2296190815236739
36005008500,0.7770419426048565
36005008600,0.9121338912133892
36005008700,0.9855867147109509
36005008900,0.9236784485455114
36005009000,0.6972262773722627
36005009200,0.7365329753314315
36005009301,0.9248699271592091
36005009600,0.701182225845903
36005009800,0.4311887515977844
36005011502,0.8907276070396638
36005011701,0.9636986301369863
36005011800,0.3860873480414228
36005011900,0.9467736652472978
36005012101,0.7705544933078394
36005012102,0.993006993006993
36005012300,0.8317037653422092
36005012500,0.7543549608684675
36005012701,0.7691983122362869
36005012901,0.9076266252668349
36005013000,0.5158478605388273
36005013100,0.8032321467569338
36005013200,0.35887876277271474
36005013300,0.9386626445449975
36005013500,0.9369369369369369
36005013800,0.36342202761872683
36005014100,0.921353251318102
36005014300,1.0
36005014400,0.7823925593329057
36005014500,0.9940643033800495
36005014701,0.9869109947643979
36005014702,0.985471229210476
36005014900,0.7970265029088559
36005015100,0.8503780342220454
36005015200,0.49774943735933985
36005015300,0.873383752134667
36005015500,0.9261168384879725
36005015700,0.928
36005015800,0.4992857142857143
36005015900,0.9060523938572719
36005016000,0.32513451191391235
36005016100,0.9974730071215254
36005016200,0.44511825348696177
36005016400,0.5435643564356436
36005016500,1.0
36005016600,0.5160349854227405
36005016700,0.9088623507228158
36005016900,0.8525311812179017
36005017300,0.9495544239338001
36005017500,1.0
36005017701,0.9357707509881423
36005017702,0.7859412974387736
36005017901,0.8940027894002789
36005017902,1.0
36005018101,0.9433784208870714
36005018102,0.9571263035921205
36005018301,0.8289389067524116
36005018302,0.9701005708072846
36005018400,0.45924112607099143
36005018501,1.0
36005018502,0.9472247497725205
36005018900,0.9778711830881444
36005019300,0.9755722582849333
36005019400,0.508729388942774
36005019500,0.9679136690647482
36005019700,1.0
36005019900,0.9037685060565276
36005020000,0.8174308137133416
36005020100,1.0
36005020200,0.7738376674546887
36005020400,0.7966903073286052
36005020501,0.9688644688644689
36005020502,0.7173828881145954
36005020601,0.5709728867623605
36005020900,0.9783737024221453
36005021001,0.7891665609539515
36005021002,0.8237001514386674
36005021100,0.8667443021127932
36005021200,0.6609045226130653
36005021301,0.6061980347694633
36005021302,0.9514579470756784
36005021501,0.890860094318437
36005021502,0.8359137826350941
36005021601,0.8009995456610631
36005021602,0.6856533158240316
36005021700,0.9615545340576682
36005021800,0.7458391123439667
36005021900,1.0
36005022000,0.8935631018753167
36005022101,1.0
36005022102,1.0
36005022200,0.7627480916030535
36005022300,1.0
36005022401,0.8359285985567794
36005022403,0.8288986190636578
36005022404,0.7528723626488406
36005022500,0.9542997542997543
36005022701,0.9857911733046286
36005022702,0.9703038674033149
36005022703,1.0
36005022800,0.9123484981556297
36005022901,0.9745379102225575
36005022902,0.7914843977836103
36005023000,0.7987012987012987
36005023100,0.8089025326170376
36005023200,0.6878980891719745
36005023301,0.9412997903563941
36005023302,0.9810953572421462
36005023501,0.9960522320072882
36005023502,0.892543365622888
36005023600,0.9113924050632911
36005023702,0.9850327408793265
36005023703,0.9856037816931672
36005023704,1.0
36005023800,0.5988074957410562
36005023900,1.0
36005024000,0.4288224956063269
36005024100,1.0
36005024300,0.9987946966653274
36005024400,0.5671510347864377
36005024501,0.9571771902993227
36005024502,0.9441898085737396
36005024600,0.5698187163155316
36005024700,0.9891135303265941
36005024800,0.7324754486962411
36005025000,0.4117181314330958
36005025100,0.7941400885090798
36005025200,0.6978217821782178
36005025300,0.9911087866108786
36005025400,0.4296520423600605
36005025500,0.9366275823562256
36005025600,0.7432614555256065
36005025700,0.8597101449275363
36005026100,0.16024973985431842
36005026300,0.9123032444587215
36005026400,0.5280658436213992
36005026500,0.975049060835436
36005026601,0.8335032279986408
36005026602,0.8640592367571672
36005026701,0.9666574813998347
36005026702,0.934005616543273
36005026900,0.8964705882352941
36005027300,0.8374356834932555
36005027401,0.21659174499387004
36005027402,0.2072155411655874
36005027600,1.0
36005027700,0.9710287257549718
36005027900,0.7823101222359566
36005028100,0.42274939172749393
36005028300,0.9651520327980868
36005028500,0.7269964078474717
36005028600,0.3957894736842105
36005028700,0.6934106162294081
36005028800,0.3734679163662581
36005028900,0.7767382521794599
36005029301,0.0855457227138643
36005029302,0.3870847331093692
36005029500,0.45617095508068034
