GEOID,Drive15_EVSE
36047004900,148
36047005000,81
36047005100,181
36047005201,76
36047005202,76
36047005301,122
36047005302,136
36047005303,138
36047005400,100
36047005601,118
36047005602,128
36047005800,116
36047005900,139
36047006000,116
36047006200,123
36047006300,170
36047006400,103
36047006500,192
36047006600,89
36047006700,155
36047006800,114
36047006901,169
36047006902,141
36047007000,166
36047007100,94
36047007200,151
36047007400,72
36047007500,145
36047007600,56
36047007700,131
36047007800,54
36047008000,58
36047008200,58
36047008400,67
36047008500,112
36047008600,61
36047008800,61
36047009001,59
36047009002,59
36047009201,59
36047009202,53
36047009401,53
36047009402,53
36047009600,52
36047009800,57
36047010000,74
36047010100,91
36047010200,111
36047010401,51
36047010402,53
36047010601,48
36047010602,54
36047010801,50
36047010802,51
36047011000,62
36047011200,53
36047011400,47
36047011600,53
36047011700,126
36047011800,110
36047011901,136
36047011902,149
36047012000,57
36047012100,129
36047012200,118
36047012600,121
36047012700,111
36047012801,69
36047012901,103
36047012902,153
36047013000,62
36047013100,83
36047013200,93
36047013300,119
36047013400,102
36047013500,111
36047013600,96
36047013700,121
36047013800,118
36047013900,119
36047014000,125
36047014101,118
36047014102,114
36047014200,122
36047014300,101
36047014500,94
36047014700,89
36047014800,91
36047014901,108
36047014902,108
36047015000,76
36047015100,108
36047015200,123
36047015300,97
36047015400,87
36047015500,143
36047015700,103
36047015900,152
36047016000,135
36047016100,110
36047016200,118
36047016300,160
36047016400,84
36047016500,114
36047016600,123
36047016700,108
36047016800,86
36047016900,77
36047017000,118
36047017100,81
36047017200,90
36047017400,87
36047017500,53
36047017600,86
36047017700,25
36047017800,68
36047017900,187
36047018000,69
36047018100,186
36047018200,70
36047018300,167
36047018400,79
36047018501,163
36047018600,73
36047018700,227
36047018800,73
36047019000,44
36047019100,244
36047019200,50
36047019300,171
36047019400,54
36047019500,201
36047019600,71
36047019700,181
36047019800,81
36047019900,182
36047020000,101
36047020100,170
36047020200,117
36047020300,160
36047020400,119
36047020500,156
36047020600,113
36047020700,108
36047020800,66
36047021000,55
36047021100,188
36047021200,53
36047021300,82
36047021400,54
36047021500,92
36047021600,45
36047021700,88
36047021800,47
36047021900,98
36047022000,49
36047022100,106
36047022200,48
36047022400,49
36047022600,47
36047022700,187
36047022800,44
36047022900,191
36047023000,43
36047023100,197
36047023200,33
36047023300,206
36047023400,39
36047023500,198
36047023600,39
36047023800,41
36047024000,47
36047024100,188
36047024200,47
36047024300,192
36047024400,48
36047024500,179
