Vehicle Make,Type1,Type2,Type1_val,Type2_val
CHEVROLET,1416.0,0.0,VOLT,
CHRYSLER,802.0,0.0,PACIFICA,
FORD,51.0,5939.0,C-MAX,FUSION
MITSUBISHI,230.0,0.0,OUTLANDER,
TOYOTA,163.0,12063.0,PRIUS PLUG-IN,PRIUS PRIME
