Vehicle Make,Type1,Type2,Type3,Type4,Type1_val,Type2_val,Type3_val,Type4_val
CHEVROLET,3450.0,0.0,0.0,0.0,BOLT EV,,,
FORD,142.0,0.0,0.0,0.0,FOCUS,,,
GEM,709.0,0.0,0.0,0.0,GEM,,,
NISSAN,4019.0,0.0,0.0,0.0,LEAF,,,
TESLA,1459.0,145.0,376.0,2.0,MODEL 3,MODEL S,MODEL X,ROADSTER
