Vehicle Make,Type1,Type2,Type3,Type1_val,Type2_val,Type3_val
CHEVROLET,1654.0,0.0,0.0,BOLT EV,,
FORD,142.0,0.0,0.0,FOCUS,,
GEM,709.0,0.0,0.0,GEM,,
NISSAN,4019.0,0.0,0.0,LEAF,,
TESLA,65.0,191.0,2.0,MODEL S,MODEL X,ROADSTER
