Vehicle Make,Type1,Type2,Type1_val,Type2_val
BMW,12.0,28.0,530E,X5
CHEVROLET,1316.0,0.0,VOLT,
FORD,33.0,5494.0,C-MAX,FUSION
HONDA,127.0,0.0,CLARITY,
TOYOTA,163.0,7863.0,PRIUS PLUG-IN,PRIUS PRIME
