Vehicle Make,Type1,Type2,Type3,Type1_val,Type2_val,Type3_val
CHEVROLET,1633.0,0.0,0.0,VOLT,,
CHRYSLER,1438.0,0.0,0.0,PACIFICA,,
FORD,99.0,15.0,6094.0,C-MAX,ESCAPE,FUSION
MITSUBISHI,1264.0,0.0,0.0,OUTLANDER,,
TOYOTA,163.0,17414.0,702.0,PRIUS PLUG-IN,PRIUS PRIME,RAV4 PRIME
