Vehicle Make,Type1,Type2,Type3,Type1_val,Type2_val,Type3_val
CHEVROLET,1489.0,0.0,0.0,VOLT,,
CHRYSLER,1020.0,0.0,0.0,PACIFICA,,
FORD,54.0,6020.0,0.0,C-MAX,FUSION,
MITSUBISHI,547.0,0.0,0.0,OUTLANDER,,
TOYOTA,163.0,14430.0,12.0,PRIUS PLUG-IN,PRIUS PRIME,RAV4 PRIME
