Vehicle Make,Type1,Type2,Type3,Type4,Type5,Type1_val,Type2_val,Type3_val,Type4_val,Type5_val
CHEVROLET,7347.0,0.0,0.0,0.0,0.0,BOLT EV,,,,
GEM,745.0,0.0,0.0,0.0,0.0,GEM,,,,
KIA,6.0,1008.0,61.0,0.0,0.0,EV6,NIRO,SOUL EV,,
NISSAN,4314.0,0.0,0.0,0.0,0.0,LEAF,,,,
TESLA,11754.0,211.0,1389.0,16717.0,2.0,MODEL 3,MODEL S,MODEL X,MODEL Y,ROADSTER
