Vehicle Make,Type1,Type2,Type3,Type1_val,Type2_val,Type3_val
CHEVROLET,1551.0,0.0,0.0,VOLT,,
CHRYSLER,1098.0,0.0,0.0,PACIFICA,,
FORD,87.0,6057.0,0.0,C-MAX,FUSION,
MITSUBISHI,564.0,0.0,0.0,OUTLANDER,,
TOYOTA,163.0,15584.0,282.0,PRIUS PLUG-IN,PRIUS PRIME,RAV4 PRIME
