Vehicle Make,Type1,Type2,Type3,Type4,Type1_val,Type2_val,Type3_val,Type4_val
CHEVROLET,4560.0,0.0,0.0,0.0,BOLT EV,,,
FORD,142.0,0.0,0.0,0.0,FOCUS,,,
GEM,730.0,0.0,0.0,0.0,GEM,,,
NISSAN,4067.0,0.0,0.0,0.0,LEAF,,,
TESLA,3142.0,157.0,629.0,2.0,MODEL 3,MODEL S,MODEL X,ROADSTER
