MODZCTA,ev_per_household
10001,0.0219577262466653
10002,0.01974362752320613
10003,0.028861839628560673
10026,0.001392757660167131
10004,0.4524822695035461
10005,0.02487198244330651
10006,0.11785503830288745
10007,0.9387313271270837
10009,0.0034778288411377468
10010,0.014196762141967622
10011,0.029524453459544738
10012,0.009776095868811101
10013,0.06694636993797884
10014,0.03378756766847116
10016,0.017039586919104992
10017,0.002770083102493075
10018,0.021739130434782608
10030,0.00202020202020202
10019,0.03168103448275862
10021,0.011378848728246318
10022,0.01718943824206982
10023,0.04317155756207675
10024,0.0325555137372977
10025,0.015659770872826176
10027,0.0018999366687777073
10028,0.014259335248256053
10029,0.0011194626579241963
10031,0.0029512270891581234
10032,
10033,0.004416229643941485
10034,0.0028041415012942193
10037,
10035,0.4414735591206179
10036,0.07425742574257425
10038,0.7644020659515296
10040,0.0019136139967195188
11104,0.000769704433497537
11105,0.05849056603773585
10039,0.0038844379703811605
10128,0.028814489571899013
10044,0.056133056133056136
10065,0.03083975828297562
10069,0.011940298507462687
10075,0.008131201764057332
10280,0.005255613951266125
10282,0.005035669324381032
10301,0.007337459324953742
11106,0.0035536602700781805
10302,0.0010559662090813093
10303,0.0005317734645041213
10304,0.01103557870574733
10451,
10305,0.00800618020928436
10306,0.010726279384492006
10307,0.0037758346581875995
10308,0.0013965505202150688
10309,0.005028123402079428
10310,0.0029033194619181263
10312,0.011796412476804807
10314,0.013568656072720035
10456,
10452,0.0004464950141390088
10453,0.00035889460461777724
10454,0.0008240626287597857
10455,
10457,0.00016825103053756205
10458,0.00040318516278600947
10459,
10460,0.0005626828719333784
10461,0.0022650056625141564
11004,0.003668261562998405
11101,0.7491077801570307
10462,0.00126918195454021
10463,0.0035895390576035553
10464,0.004119464469618949
10465,0.003493582440950862
10466,0.000972940103374886
10467,0.0006974041069352964
10468,0.0005726283641916397
10469,0.002271406687443875
10470,
11102,0.0019262874020803903
11109,
10471,0.009974293059125963
10472,0.000854481756814492
10473,0.00136787210395828
10474,0.001176470588235294
11103,0.002129817444219067
10475,0.007209062821833162
11201,0.06924262439453985
11203,4.922955742627874e-05
11204,0.0022525341008634713
11205,0.016736401673640166
11206,0.0019557695200842487
11207,0.0006172839506172839
11209,0.004817738565126538
11208,0.0009218855632720792
11210,0.00465262167389827
11211,0.014358974358974359
11212,0.003924538694574498
11213,0.0017665763749852785
11218,0.007428537469542996
11214,0.005259203606311044
11215,0.013006563497320408
11216,0.002692068751294264
11217,0.016884531590413945
11219,0.0035125448028673835
11220,0.0012472283813747228
11221,0.0004724335049841735
11222,0.10992487149070779
11223,0.009466977745872218
11224,0.0006807351940095302
11225,0.005077238846278492
11226,0.0018961839298411946
11228,0.005405405405405406
11230,0.006936674871335869
11415,0.0023515579071134627
11229,0.006945635397015949
11231,0.017389144205688736
11358,0.004840764331210191
11232,0.0016210739614994933
11233,
11234,0.004993379988651409
11235,0.006478411645897641
11236,0.0018138086037616814
11237,0.0014475002783654381
11238,0.011977321048901488
11239,0.002584814216478191
11354,0.00945945945945946
11355,0.0066942939113803
11356,0.008501459205684557
11357,0.011158935118762953
11360,0.005587181109002741
11372,0.0030599755201958386
11361,0.00659262338896478
11362,0.015024414673844999
11416,
11363,0.013722627737226278
11364,0.014030688399307422
11373,0.2433396764985728
11365,0.014509292468209978
11366,0.0074243289548829245
11367,0.006086564472497746
11374,0.006294256490952006
11368,0.36047811505718463
11417,0.002286204186611417
11369,0.0009730330831248262
11370,0.13057896918612685
11375,0.019773266543633008
11379,0.005545732197395917
11377,0.07097660477895262
11378,0.0037320574162679424
11421,0.00028527957398250285
11422,0.0010006253908692933
11385,0.0023602798617550365
11411,0.001195886151638364
11412,0.0009049773755656109
11413,0.002880254933202598
11414,0.003161512027491409
11420,0.0009915101939641817
11418,0.0014739032425871337
11419,0.0002397315007191945
11423,0.002250562640660165
11426,0.015565782349756361
11427,0.005698005698005698
11428,0.0007129842351263567
11436,0.00033932813030200206
11691,0.005583992554676594
11692,0.00040016006402561027
11693,0.00663075010360547
11429,0.0015516829792313201
11432,0.006870179532050036
11433,
11434,0.0003498134328358209
11435,0.000321068516021319
11694,0.006434809253868546
11697,
99999,
