MODZCTA,ev_per_household
10001,0.0005347593582887701
10002,
10003,0.001904535174384002
10026,
10004,0.18439716312056736
10005,
10006,0.0030469226081657527
10007,0.2706007442849548
10009,
10010,0.0013827781269641734
10011,0.0024234412866270105
10012,0.0014760147601476014
10013,0.030050449660013162
10014,0.0006558452205279554
10016,0.0005866823115283074
10017,
10018,0.0008964589870013447
10030,
10019,
10021,0.0009591176117971466
10022,0.0035003977724741447
10023,0.00473499312662288
10024,0.001694310683074728
10025,0.000412779658218443
10027,0.0005212405525149857
10028,0.0014835327860745723
10029,
10031,
10032,
10033,
10034,
10037,
10035,0.28980572801922694
10036,0.00823271130625686
10038,0.15026065624041704
10040,
11104,
11105,0.007213178672385223
10039,0.0017579841781423966
10128,0.00370414625403274
10044,0.020618556701030927
10065,0.0017103762827822121
10069,
10075,0.0013539128080151638
10280,
10282,0.0037688442211055275
10301,0.0010212269312130718
11106,
10302,0.00037655328228944395
10303,
10304,0.0007059298104074224
10451,
10305,0.0014963339817447255
10306,0.0003072039322103323
10307,
10308,6.83526999316473e-05
10309,0.0003622204111201666
10310,0.0008665511265164644
10312,0.0018443702792903566
10314,0.0006976176357738323
10456,
10452,
10453,
10454,
10455,
10457,
10458,
10459,
10460,0.0003741114852225963
10461,
11004,0.0006610477607007106
11101,0.4324555403556772
10462,0.00022223456858714373
10463,0.0002215698221902177
10464,
10465,0.00045917195989898216
10466,6.188118811881188e-05
10467,0.00015267175572519084
10468,
10469,
10470,
11102,
11109,
10471,0.000206058108386565
10472,0.00025775410258613285
10473,0.0006837272904864231
10474,
11103,0.0003026329062846767
10475,
11201,0.01244286439817166
11203,
11204,0.00017286084701815038
11205,0.005844155844155844
11206,
11207,
11209,
11208,
11210,0.0009558198810535259
11211,0.00031819266565905654
11212,
11213,0.00012682308180088776
11218,
11214,0.0003126535352181875
11215,0.0005129191511188049
11216,
11217,
11219,7.392622163081245e-05
11220,0.0004265908282971916
11221,
11222,0.0014587892049598833
11223,0.00027141952411110105
11224,
11225,0.0006649673057741328
11226,
11228,0.00024293465057899426
11230,0.00036040906428796683
11415,
11229,0.00012856775520699409
11231,0.0007169486664754804
11358,0.00010829542993285683
11232,
11233,
11234,
11235,0.00023256715376564983
11236,8.159601811431602e-05
11237,0.00025903380391141046
11238,0.00016083634901487736
11239,
11354,
11355,
11356,0.0019479615973285098
11357,0.0006281765747244589
11360,0.0005349309939017867
11372,
11361,0.0011852036678934564
11362,0.0005110514884374601
11416,
11363,
11364,0.00012023566189731875
11373,0.04631058968817536
11365,0.00043308791684711995
11366,0.0005233410090014653
11367,
11374,0.0007149240393208221
11368,0.18001456133964325
11417,0.0003097173828881146
11369,0.00014972301242701004
11370,0.02129159616469261
11375,0.002573774129132461
11379,0.00030455306837216383
11377,0.05702471828426027
11378,
11421,
11422,
11385,0.0003125837277842279
11411,0.00075046904315197
11412,
11413,0.00040021344717182497
11414,0.0008895478131949593
11420,
11418,0.00036978829620042526
11419,
11423,
11426,
11427,
11428,0.00023984649824112568
11436,0.0003550505947097461
11691,
11692,0.00016561775422325274
11693,
11429,0.000124750499001996
11432,0.001117006422786931
11433,
11434,
11435,
11694,0.00015220700152207003
11697,
99999,
