MODZCTA,ev_per_household
10001,0.00964498255694644
10002,0.006482982171799027
10003,0.012046680888442716
10026,0.0005064573309698658
10004,0.3801418439716312
10005,
10006,0.11785503830288745
10007,0.9328859060402684
10009,0.0007452490373866601
10010,0.0062266500622665
10011,0.012395762902862295
10012,0.007568590350047304
10013,0.04031375410434148
10014,0.015307074855329476
10016,0.004475043029259896
10017,
10018,0.002508361204013378
10030,0.0004489337822671156
10019,0.009913793103448277
10021,0.005220883534136547
10022,0.01187311713627503
10023,0.015942437923250563
10024,0.010161836657884832
10025,0.010384900684084727
10027,0.001266624445851805
10028,0.007693885925318014
10029,0.00031984647369262754
10031,
10032,
10033,0.0022081148219707425
10034,0.0015099223468507334
10037,
10035,0.42404436522083583
10036,0.02392739273927393
10038,0.7099721891140246
10040,
11104,
11105,0.04690026954177898
10039,0.003641660597232338
10128,0.013858397365532382
10044,0.02079002079002079
10065,0.016045009376953533
10069,0.005970149253731343
10075,0.002205071664829107
10280,
10282,0.005035669324381032
10301,0.003317807694761692
11106,0.0021321961620469083
10302,0.0005866478939340608
10303,
10304,0.005561931667696654
10451,
10305,0.005477912774773509
10306,0.005463385293970227
10307,0.0021860095389507153
10308,0.0011870679421828085
10309,0.0030680074995738877
10310,0.0010645504693699798
10312,0.008041000265087922
10314,0.006170586869256544
10456,
10452,
10453,
10454,0.0008240626287597857
10455,
10457,
10458,0.00040318516278600947
10459,
10460,0.0005626828719333784
10461,0.00014156285390713478
11004,0.0019138755980861245
11101,0.6648822269807281
10462,0.0007499711549555786
10463,0.0019941883653353085
10464,0.004119464469618949
10465,0.002430318219791904
10466,0.00018242626938279113
10467,0.0006974041069352964
10468,
10469,0.0011092916380539856
10470,
11102,
11109,
10471,0.0048329048843187665
10472,0.0003417927027257968
10473,0.0005984440454817474
10474,
11103,0.00030425963488843813
10475,0.007209062821833162
11201,0.031373844121532365
11203,
11204,0.0008342718892086932
11205,0.014200583238240142
11206,0.0010531066646607492
11207,9.49667616334283e-05
11209,0.003540747620153239
11208,0.00012291807510294387
11210,0.003973025249620995
11211,0.003865877712031558
11212,0.003924538694574498
11213,0.0001177717583323519
11218,0.0033279847863552626
11214,0.0023423343792813895
11215,0.0034925031613175167
11216,0.0008283288465520812
11217,0.003540305010893246
11219,0.0018637992831541219
11220,0.0012472283813747228
11221,
11222,0.042968235139053644
11223,0.00466618808327351
11224,
11225,0.00118828994274603
11226,0.0012443707039582839
11228,0.0010333863275039745
11230,0.002998433654061311
11415,0.0011757789535567313
11229,0.0039873092093980446
11231,0.006086200471991057
11358,0.002089171974522293
11232,0.0004052684903748733
11233,
11234,0.0019292604501607716
11235,0.0025913646583590566
11236,0.0009069043018808407
11237,0.000779423226812159
11238,0.0021970233876683204
11239,
11354,0.004623044096728307
11355,0.00267771756455212
11356,0.004821723131582287
11357,0.006110845422179712
11360,0.002530044275774826
11372,0.001101591187270502
11361,0.002910257171705173
11362,0.0057593589583072495
11416,
11363,0.006131386861313868
11364,0.006746671443071228
11373,0.2148549000951475
11365,0.007010107597000326
11366,0.00437845040928993
11367,0.002780282536819958
11374,0.003207649942504388
11368,0.33786224094935075
11417,0.0016432092591269559
11369,0.00013900472616068947
11370,0.12436092303440652
11375,0.009227524387028736
11379,0.0027326796334994374
11377,0.06323370243943052
11378,0.0020095693779904307
11421,0.00028527957398250285
11422,0.000375234521575985
11385,0.0009272528028323358
11411,0.001195886151638364
11412,0.0009049773755656109
11413,0.002512562814070352
11414,0.002611683848797251
11420,0.0001239387742455227
11418,0.0010404022888850356
11419,
11423,0.0006430178973314757
11426,0.010151597184623714
11427,0.0016619183285849952
11428,0.0003961023528479759
11436,0.00033932813030200206
11691,0.0022103303862261517
11692,0.00013338668800853674
11693,0.003522585992540406
11429,0.0015516829792313201
11432,0.004212845939464645
11433,
11434,
11435,0.00025685481281705514
11694,0.0022981461620959092
11697,
99999,
