Station Name,Street Address,ZIP,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,EV Connector Types,Facility Type
NYC Parking 155 East 76th Street Garage Corp.,155 East 76th Street,10021,6.0,0.0,Blink Network,40.77292688873804,-73.95955810985014,J1772,
Jeffrey Gardens Public Access,47-14 217th St,11361,1.0,0.0,AMPED_UP,40.75717,-73.76397,J1772,MULTI_UNIT_DWELLING
The 19th Ave Condominium,886 Dahill Road,11204,4.0,0.0,Blink Network,40.626403,-73.977822,J1772,
CITYLIGHTS 5TH FLOOR 1,4-74 48th Ave,11109,2.0,0.0,ChargePoint Network,40.744127,-73.95684,J1772,
CITYLIGHTS 5TH FLOOR 2,4-74 48th Ave,11109,2.0,0.0,ChargePoint Network,40.744152,-73.956666,J1772,
Beitel Group,1021 38th Street,11219,2.0,0.0,Blink Network,40.6449449,-73.9914684,J1772,
COM1-1 COM1-2,365 W 25th St,10001,0.0,1.0,ChargePoint Network,40.747434,-74.000085,CHADEMO J1772COMBO,
COM1-1 COM1-1,372 W 25th St,10001,0.0,1.0,ChargePoint Network,40.747486,-74.000069,CHADEMO J1772COMBO,
The Bridge Towers 7,1370 St Nicholas Ave,10033,5.0,0.0,Blink Network,40.847563,-73.934481,J1772,
Bridge Towers Location 2,1365 St Nicholas Ave,10033,3.0,0.0,Blink Network,40.847958,-73.935109,J1772,
NYC FLEET DPRWFMARNA_4_L3,109-5 Marina Rd,11368,0.0,1.0,ChargePoint Network,40.760345,-73.85546,CHADEMO J1772COMBO,
NYC FLEET DPRWFMARNA_5_L3,109-5 Marina Rd,11368,0.0,1.0,ChargePoint Network,40.76038,-73.85531,CHADEMO J1772COMBO,
NYC FLEET DPRWFMARNA_3_L3,109-5 Marina Rd,11368,0.0,1.0,ChargePoint Network,40.760345,-73.85537,CHADEMO J1772COMBO,
NYC FLEET DPRWFMARNA_2_L3,109-5 Marina Rd,11368,0.0,1.0,ChargePoint Network,40.76033,-73.855286,CHADEMO J1772COMBO,
1 WATERLINE STATION#10,10 Riverside Blvd,10069,2.0,0.0,ChargePoint Network,40.772896,-73.992546,J1772,
1 WATERLINE STATION#9,10 Riverside Blvd,10069,2.0,0.0,ChargePoint Network,40.772916,-73.99263,J1772,
Ravel Hotel,8-08 Queens Pl S,11101,2.0,0.0,TURNONGREEN,40.75402,-73.9493,J1772,HOTEL
Starbucks - Tesla Supercharger,3035 Cropsey Ave,11224,0.0,12.0,Tesla,40.581652,-73.985056,J1772COMBO TESLA,PARKING_LOT
Circuit Chargers (Rockaway Hotel),108-03 Beach Channel Dr,11694,8.0,0.0,Non-Networked,40.5815,-73.8388,J1772,HOTEL
PLAZA HYUNDAI PUBLIC LEVEL 3,2705 Nostrand Ave.,11210,0.0,1.0,ChargePoint Network,40.618364,-73.945066,CHADEMO J1772COMBO,
540 WAVERLY 1,540 Waverly Ave,11238,2.0,0.0,ChargePoint Network,40.682176,-73.96585,J1772,
540 WAVERLY 2,540 Waverly Ave,11238,2.0,0.0,ChargePoint Network,40.681764,-73.965799,J1772,
540 WAVERLY 4,510 Waverly Ave,11238,2.0,0.0,ChargePoint Network,40.682163,-73.966003,J1772,
540 WAVERLY 5,510 Waverly Ave,11238,2.0,0.0,ChargePoint Network,40.682187,-73.965853,J1772,
540 WAVERLY 3,510 Waverly Ave,11238,2.0,0.0,ChargePoint Network,40.682187,-73.965917,J1772,
PLAZA HONDA PUBLIC LEVEL 3,2705 Nostrand Avenue,11210,0.0,1.0,ChargePoint Network,40.618355,-73.945087,CHADEMO J1772COMBO,
351 E 83rd Street,351 East 83rd St,10028,4.0,0.0,LIVINGSTON,40.77533,-73.95108,J1772,
SWTCH Energy Inc.,10 Montieth St,11206,10.0,0.0,SWTCH,40.7012,-73.9357,J1772,MULTI_UNIT_DWELLING
10 Reade St,10 Reade St,10007,2.0,0.0,FLO,40.713898,-74.00434,J1772,
Jerome-Gun Hill Road Municipal Parking Garage,3510 Jerome Ave,10467,4.0,0.0,EV Connect,40.883002,-73.880698,J1772,
CENTERS HEALTHC EV-5,170 Buffalo Avenue,11213,2.0,0.0,ChargePoint Network,40.673563,-73.926284,J1772,
CENTERS HEALTHC EV-2,170 Buffalo Avenue,11213,2.0,0.0,ChargePoint Network,40.673561,-73.926135,J1772,
CENTERS HEALTHC EV-3,170 Buffalo Avenue,11213,2.0,0.0,ChargePoint Network,40.673561,-73.926143,J1772,
CENTERS HEALTHC EV-4,170 Buffalo Ave,11213,2.0,0.0,ChargePoint Network,40.673237,-73.925718,J1772,
CENTERS HEALTHC EV-6,170 Buffalo Ave,11213,2.0,0.0,ChargePoint Network,40.673186,-73.925637,J1772,
CENTERS HEALTHC EV-7,170 Buffalo Avenue,11213,2.0,0.0,ChargePoint Network,40.673563,-73.926362,J1772,
CENTERS HEALTHC EV-8,170 Buffalo Avenue,11213,2.0,0.0,ChargePoint Network,40.673181,-73.926415,J1772,
CENTERS HEALTHC EV-9,170 Buffalo Ave,11213,2.0,0.0,ChargePoint Network,40.673233,-73.925648,J1772,
CENTERS HEALTHC EV-10,170 Buffalo Ave,11213,2.0,0.0,ChargePoint Network,40.6732,-73.925696,J1772,
165 E 77 ST Garage,165 E 77th Street,10075,1.0,0.0,Blink Network,40.773528,-73.959538,J1772,
C W TOYOTA SERVICE DEPT,3333 Boston Rd,10469,1.0,0.0,ChargePoint Network,40.874265,-73.852887,J1772,
CENTERS HEALTHC EV-1,170 Buffalo Avenue,11213,2.0,0.0,ChargePoint Network,40.673435,-73.926002,J1772,
919 Third Avenue,919 3rd Avenue,10022,1.0,0.0,Blink Network,40.759299,-73.968603,J1772,
2 Lincoln Square,60 West 66th Street,10023,4.0,0.0,Blink Network,40.773497588162286,-73.98137367362845,J1772,
NYC FLEET DPRWFMARNA_1_L3,1 Marina Road,11369,0.0,1.0,ChargePoint Network,40.760611,-73.85697,CHADEMO J1772COMBO,
