MODZCTA,ev_per_household
10001,0.005540734660373486
10002,0.0007367025195226168
10003,0.007905634333040533
10026,
10004,0.2817966903073286
10005,
10006,0.08426635238656452
10007,0.40181857544923144
10009,0.0004968326915911067
10010,0.005354919053549191
10011,0.008902411539328374
10012,0.004415011037527594
10013,0.03611820503465888
10014,0.009706925518013814
10016,0.0024096385542168677
10017,
10018,0.0016722408026755853
10030,0.0004489337822671156
10019,0.0010775862068965517
10021,0.0036144578313253013
10022,0.005139110402268297
10023,0.010016930022573364
10024,0.005927738050432819
10025,0.004945190801945109
10027,0.000506649778340722
10028,0.005744768157570784
10029,
10031,
10032,
10033,0.0012420645873585426
10034,
10037,
10035,0.3810655575361458
10036,0.02392739273927393
10038,0.4008740564163687
10040,
11104,
11105,0.03351302785265049
10039,0.003641660597232338
10128,0.011525795828759604
10044,0.012474012474012475
10065,0.007084809335278183
10069,0.004776119402985075
10075,0.002205071664829107
10280,
10282,0.002517834662190516
10301,0.0022331397945511387
11106,0.0007107320540156361
10302,0.00035198873636043646
10303,
10304,0.004943939260174803
10451,
10305,0.0028091860383453893
10306,0.0033081048568994035
10307,0.0021860095389507153
10308,0.0003491376300537672
10309,0.0003408897221748764
10310,0.000774218523178167
10312,0.005080851815852258
10314,0.0028530670470756064
10456,
10452,
10453,
10454,
10455,
10457,
10458,
10459,
10460,0.0005626828719333784
10461,0.00014156285390713478
11004,0.0012759170653907496
11101,0.5483583154889364
10462,0.0007499711549555786
10463,0.0007976753461341234
10464,
10465,0.001746791220475431
10466,0.00018242626938279113
10467,0.00015497869043006585
10468,
10469,0.0007923511700385611
10470,
11102,
11109,
10471,0.0018508997429305912
10472,0.0003417927027257968
10473,0.0005984440454817474
10474,
11103,0.00030425963488843813
10475,
11201,0.018824306472919418
11203,
11204,0.0008342718892086932
11205,0.014200583238240142
11206,
11207,
11209,0.0019154864174599489
11208,
11210,0.0030843222332584035
11211,0.0014990138067061144
11212,0.003924538694574498
11213,0.0001177717583323519
11218,0.00047542639805075174
11214,0.0007955097891899058
11215,0.0015053892936713433
11216,
11217,0.0016339869281045752
11219,0.0016487455197132616
11220,0.0005543237250554324
11221,
11222,0.028206142085145644
11223,0.002512562814070352
11224,
11225,0.0009722372258831155
11226,0.0010073477127281346
11228,0.0010333863275039745
11230,0.0017453569031103155
11415,0.0007838526357044876
11229,0.003172697650488767
11231,0.00260837163085331
11358,0.0013248407643312102
11232,
11233,
11234,0.001021373179496879
11235,0.0017529819747723028
11236,0.0005125980836717795
11237,0.0006680770515532791
11238,0.001559177888022679
11239,
11354,0.003698435277382646
11355,0.0010200828817341408
11356,0.0027915239182844816
11357,0.003188267176789415
11360,0.0015812776723592662
11372,0.0009791921664626683
11361,0.0016036110946130546
11362,0.0028796794791536248
11416,
11363,0.004379562043795621
11364,0.0024479073377515074
11373,0.16406993339676498
11365,0.0039126181936746
11366,0.001237388159147154
11367,0.0014277126540426812
11374,0.002057737698965079
11368,0.3036374580789406
11417,0.0016432092591269559
11369,0.00013900472616068947
11370,0.09105983142185989
11375,0.004789524562791106
11379,0.001125221025558592
11377,0.056364998751144785
11378,
11421,
11422,0.000375234521575985
11385,0.0007586613841355475
11411,0.001195886151638364
11412,
11413,0.0012256403971074887
11414,0.0008247422680412372
11420,0.0001239387742455227
11418,0.0003468007629616785
11419,
11423,0.0006430178973314757
11426,0.003519220357336221
11427,0.0005935422602089269
11428,0.0003961023528479759
11436,0.00033932813030200206
11691,0.0013959981386691485
11692,0.00013338668800853674
11693,0.0016576875259013675
11429,0.00011936022917164001
11432,0.0016203253613325556
11433,
11434,
11435,
11694,0.0013788876972575456
11697,
99999,
