MODZCTA,ev_per_household
10001,
10002,
10003,0.000952267587192001
10026,
10004,
10005,
10006,
10007,0.000531632110579479
10009,
10010,0.0003771213073538655
10011,0.0009914077990746861
10012,
10013,0.02500548365869708
10014,
10016,
10017,
10018,
10030,
10019,
10021,0.0004795588058985733
10022,
10023,0.0006109668550481136
10024,0.0005350454788657035
10025,8.25559316436886e-05
10027,
10028,0.0008901196716447434
10029,
10031,
10032,
10033,
10034,
10037,
10035,0.23412777889044661
10036,
10038,
10040,
11104,
11105,0.0006823277122526562
10039,
10128,0.001194885888397658
10044,
10065,
10069,
10075,0.0013539128080151638
10280,
10282,
10301,
11106,
10302,0.00037655328228944395
10303,
10304,
10451,
10305,0.0002244500972617088
10306,
10307,
10308,
10309,
10310,
10312,0.0002634814684700509
10314,0.00017440440894345808
10456,
10452,
10453,
10454,
10455,
10457,
10458,
10459,
10460,
10461,
11004,
11101,0.06993844049247606
10462,
10463,
10464,
10465,
10466,
10467,
10468,
10469,
10470,
11102,
11109,
10471,
10472,
10473,
10474,
11103,
10475,
11201,0.007618080243778568
11203,
11204,0.00017286084701815038
11205,0.005844155844155844
11206,
11207,
11209,
11208,
11210,
11211,0.00023864449924429243
11212,
11213,
11218,
11214,
11215,
11216,
11217,
11219,
11220,
11221,
11222,0.0005835156819839533
11223,0.00013570976205555052
11224,
11225,
11226,
11228,0.00024293465057899426
11230,
11415,
11229,
11231,
11358,
11232,
11233,
11234,
11235,
11236,
11237,
11238,
11239,
11354,
11355,
11356,0.0005565604563795742
11357,
11360,
11372,
11361,6.237914041544508e-05
11362,
11416,
11363,
11364,
11373,0.012719975301018833
11365,
11366,0.0003140046054008792
11367,
11374,
11368,0.10493265380414998
11417,
11369,0.00014972301242701004
11370,
11375,0.00017750166407810074
11379,
11377,0.0297164667393675
11378,
11421,
11422,
11385,0.0001339644547646691
11411,
11412,
11413,
11414,
11420,
11418,
11419,
11423,
11426,
11427,
11428,
11436,
11691,
11692,
11693,
11429,
11432,
11433,
11434,
11435,
11694,
11697,
99999,
